STATE,group,X,Y
CA,4334,-118.57033068662757,35.10991490959097
CA,4335,-117.63636502039307,33.94974531726606
CA,4336,-120.6989005206627,35.324574137711
CA,4337,-121.33062637177169,37.74805759323278
CA,4338,-121.97720053503514,38.3246433895832
CA,4339,-119.548470774994,36.057388747970904
CA,4340,-120.15270978432069,37.0936807336262
CA,4341,-114.90950575598251,33.56257951986882
CA,4342,-118.22761358908292,34.69359649726318
CA,4343,-119.30987565917647,35.78188512538748
CA,4344,-119.3253627071342,35.76647437756159
CA,4345,-124.14907513243564,41.854808516588264
CA,4346,-120.24467159061226,36.13245297487652
CA,4347,-116.93357633770368,32.584564881361466
CA,4348,-119.40833192569659,35.59431189666339
CA,4349,-120.15547184749713,37.10547736678355
CA,4350,-121.37439440065282,36.47885699152368
CA,4351,-120.67020461577934,41.523599232863724
CA,4352,-116.5368924847369,32.93893654371918
CA,4353,-122.82407824608731,41.67774196722593
CA,4354,-124.06140265289343,41.50102605592451
CA,4355,-118.47580837208527,34.56533759152116
CA,4356,-118.86552873729164,34.08392940432928
CA,4357,-116.80923523761139,33.64204514682022
CA,4358,-117.82290060433387,34.237830379957835
CA,4359,-120.8700429275779,38.90313302654366
CA,4360,-123.82240674527574,40.138253456920594
CA,4361,-123.9312622233103,40.37507707617089
CA,4362,-120.0487381959938,37.535978486505165
CA,4363,-121.89495891647394,40.31308214319806
CA,4364,-118.71392799682145,36.20791411450768
CA,4365,-118.36033131710346,34.300036643217794
CA,4366,-116.26677384550202,32.6842267162437
CA,4367,-120.73344204386694,35.329429005677085
CA,4368,-121.22419725051442,41.123106705142156
CA,4369,-117.77262913718103,34.390103168592134
CA,4370,-122.16906706375896,37.1302650357661
CA,4371,-121.84722361806907,38.217625969824724
CA,4372,-120.52964783825895,37.92404324529787
CA,4373,-118.287350786913,34.43743175205964
CA,4374,-120.53654006940526,37.89168856395838
CA,4375,-120.6348665570865,35.46406021746247
CA,4376,-117.28146574222777,34.27165689209099
CO,13,-107.71635400302408,39.515911628901904
CO,25,-105.48219864826035,39.83920045151999
CO,27,-105.20129421827356,39.73086903097898
CO,28,-106.93233593088432,38.53953470675624
CO,29,-106.10449010395817,40.07208490418144
CO,39,-104.48504561339925,37.18262095153885
CO,40,-106.29223092719518,39.24808564233299
CO,42,-105.03321462978099,40.564241553181766
CO,43,-107.87842291776265,37.24763942844576
CO,50,-103.4738329696663,39.13228774602234
CO,58,-108.57409322254992,39.06835108925118
CO,74,-108.56110229269065,39.06369654816381
